# Permanent Stat Upgrade Formulas (Crystal Currency)
# Cost = base_cost * (1 + level * growth_rate) * multiplier^(level / softcap_interval)
# Effect = level * effect_per_level  (capped at max_effect if set)
# Tier Effect: effect_per_level * effect_multiplier_per_tier^tier  (if tier_config exists)
#
# === Per-Stat Parameters ===
"# base_attack (기본 공격력), base_cost=20, growth=1.2, mult=1.9, softcap=8, effect/lv=4, effect_mult_tier=1.28"
"# attack_percent (공격력 배수), base_cost=10, growth=1.0, mult=1.8, softcap=8, effect/lv=0.2, max_lv=1000, max_effect=200"
"# crit_chance (크리티컬 확률), base_cost=1, growth=0.7, mult=1.7, softcap=8, effect/lv=0.09, max_lv=1000, max_effect=90"
"# crit_damage (크리티컬 배율), base_cost=1, growth=0.5, mult=1.5, softcap=10, effect/lv=0.002, max_lv=1000, max_effect=2.0"
"# multi_hit (멀티히트 확률), base_cost=1, growth=0.7, mult=1.6, softcap=8, effect/lv=0.1, max_lv=1000, max_effect=100"
"# time_extend (기본 시간 연장), base_cost=1.5, growth=0.6, mult=1.4, softcap=10, effect/lv=0.28, max_lv=300, max_effect=60, dmg_bonus/lv=0.667%"
"# upgrade_discount (업그레이드 할인), base_cost=1, growth=0.5, mult=1.3, softcap=10, effect/lv=5.0, max_lv=20, max_effect=60, dmg_bonus/lv=0.6%"
"# gold_flat_perm (영구 골드+), base_cost=0.05, growth=0.7, mult=1.6, softcap=10, effect/lv=3, effect_mult_tier=1.12"
"# gold_multi_perm (영구 골드*), base_cost=0.08, growth=0.7, mult=1.4, softcap=10, effect/lv=0.2, max_lv=1000, max_effect=200, effect_mult_tier=1.12"
"# crystal_flat (크리스탈+), base_cost=1, growth=0.9, mult=1.8, softcap=5, effect/lv=10, effect_mult_tier=0.94"
"# crystal_chance (크리스탈*), base_cost=1, growth=0.8, mult=1.7, softcap=5, effect/lv=0.1, max_lv=1000, max_effect=100, effect_mult_tier=0.94"
"# start_level (시작 레벨), base_cost=3, growth=0.5, mult=1.5, softcap=12, effect/lv=1.0"
"# start_gold (시작 골드), base_cost=1, growth=0.4, mult=1.4, softcap=12, effect/lv=150"
"# start_keyboard (시작 키보드), base_cost=1, growth=0.5, mult=1.5, softcap=8, effect/lv=2.0"
"# start_mouse (시작 마우스), base_cost=1, growth=0.5, mult=1.5, softcap=8, effect/lv=2.0"

Level,base_attack_cost,base_attack_cum_cost,base_attack_effect,attack_percent_cost,attack_percent_cum_cost,attack_percent_effect,crit_chance_cost,crit_chance_cum_cost,crit_chance_effect,crit_damage_cost,crit_damage_cum_cost,crit_damage_effect,multi_hit_cost,multi_hit_cum_cost,multi_hit_effect,time_extend_cost,time_extend_cum_cost,time_extend_effect,upgrade_discount_cost,upgrade_discount_cum_cost,upgrade_discount_effect,gold_flat_perm_cost,gold_flat_perm_cum_cost,gold_flat_perm_effect,gold_multi_perm_cost,gold_multi_perm_cum_cost,gold_multi_perm_effect,crystal_flat_cost,crystal_flat_cum_cost,crystal_flat_effect,crystal_chance_cost,crystal_chance_cum_cost,crystal_chance_effect,start_level_cost,start_level_cum_cost,start_level_effect,start_gold_cost,start_gold_cum_cost,start_gold_effect,start_keyboard_cost,start_keyboard_cum_cost,start_keyboard_effect,start_mouse_cost,start_mouse_cum_cost,start_mouse_effect
16,"1,459","8,939",64,551,"3,492",3.2,36,241,1.44,18,138,0.032,32,221,1.6,28,218,4.48,14,118,60,2,19,48,2,22,3.2,102,549,160,76,430,1.6,47,372,16,12,102,2400,21,154,32,21,154,32
17,"1,675","10,614",68,628,"4,120",3.4,40,281,1.53,19,157,0.034,36,257,1.7,30,248,4.76,15,133,60,2,21,51,2,24,3.4,121,670,170,89,519,1.7,51,423,17,13,115,2550,23,177,34,23,177,34
18,"1,916","12,530",72,714,"4,834",3.6,45,326,1.62,21,178,0.036,40,297,1.8,33,281,5.04,17,150,60,2,23,54,2,26,3.6,143,813,180,105,624,1.8,56,479,18,14,129,2700,25,202,36,25,202,36
19,"2,186","14,716",76,808,"5,642",3.8,51,377,1.71,23,201,0.038,44,341,1.9,36,317,5.32,18,168,60,2,25,57,3,29,3.8,169,982,190,122,746,1.9,60,539,19,15,144,2850,28,230,38,28,230,38
20,"2,489","17,205",80,913,"6,555",4,57,434,1.8,25,226,0.04,49,390,2,39,356,5.6,19,187,60,2,27,60,3,32,4,200,"1,182",200,142,888,2,65,604,20,16,160,3000,31,261,40,31,261,40
21,"2,826","20,031",84,"1,030","7,585",4.2,64,498,1.89,27,253,0.042,54,444,2.1,42,398,5.88,MAX,187,MAX,3,30,63,3,35,4.2,235,"1,417",210,166,"1,054",2.1,71,675,21,17,177,3150,34,295,42,34,295,42
22,"3,202","23,233",88,"1,159","8,744",4.4,71,569,1.98,30,283,0.044,60,504,2.2,45,443,6.16,MAX,187,MAX,3,33,66,3,38,4.4,277,"1,694",220,193,"1,247",2.2,76,751,22,19,196,3300,37,332,44,37,332,44
23,"3,621","26,854",92,"1,301","10,045",4.6,79,648,2.07,32,315,0.046,67,571,2.3,49,492,6.44,MAX,187,MAX,3,36,69,3,41,4.6,325,"2,019",230,223,"1,470",2.3,82,833,23,20,216,3450,41,373,46,41,373,46
24,"4,088","30,942",96,"1,459","11,504",4.8,88,736,2.16,35,350,0.048,73,644,2.4,52,544,6.72,MAX,187,MAX,3,39,72,4,45,4.8,380,"2,399",240,258,"1,728",2.4,88,921,24,21,237,3600,44,417,48,44,417,48
25,"4,608","35,550",100,"1,632","13,136",5,98,834,2.25,38,388,0.05,81,725,2.5,56,600,7,MAX,187,MAX,3,42,75,4,49,5,445,"2,844",250,299,"2,027",2.5,95,"1,016",25,23,260,3750,48,465,50,48,465,50
26,"5,187","40,737",104,"1,824","14,960",5.2,108,942,2.34,41,429,0.052,89,814,2.6,60,660,7.28,MAX,187,MAX,4,46,78,4,53,5.2,519,"3,363",260,345,"2,372",2.6,102,"1,118",26,24,284,3900,53,518,52,53,518,52
27,"5,829","46,566",108,"2,036","16,996",5.4,120,"1,062",2.43,44,473,0.054,98,912,2.7,64,724,7.56,MAX,187,MAX,4,50,81,4,57,5.4,605,"3,968",270,397,"2,769",2.7,109,"1,227",27,26,310,4050,57,575,54,57,575,54
28,"6,543","53,109",112,"2,270","19,266",5.6,132,"1,194",2.52,47,520,0.056,107,"1,019",2.8,69,793,7.84,MAX,187,MAX,4,54,84,5,62,5.6,705,"4,673",280,457,"3,226",2.8,116,"1,343",28,27,337,4200,63,638,56,63,638,56
29,"7,335","60,444",116,"2,527","21,793",5.8,146,"1,340",2.61,51,571,0.058,118,"1,137",2.9,74,867,8.12,MAX,187,MAX,5,59,87,5,67,5.8,820,"5,493",290,526,"3,752",2.9,124,"1,467",29,29,366,4350,68,706,58,68,706,58
30,"8,215","68,659",120,"2,810","24,603",6,161,"1,501",2.7,54,625,0.06,129,"1,266",3,79,946,8.4,MAX,187,MAX,5,64,90,5,72,6,953,"6,446",300,604,"4,356",3,133,"1,600",30,31,397,4500,74,780,60,74,780,60
31,"9,189","77,848",124,"3,122","27,725",6.2,178,"1,679",2.79,58,683,0.062,141,"1,407",3.1,84,"1,030",8.68,MAX,187,MAX,5,69,93,6,78,6.2,"1,106","7,552",310,693,"5,049",3.1,142,"1,742",31,32,429,4650,80,860,62,80,860,62
32,"10,270","88,118",128,"3,465","31,190",6.4,196,"1,875",2.88,63,746,0.064,154,"1,561",3.2,89,"1,119",8.96,MAX,187,MAX,6,75,96,6,84,6.4,"1,283","8,835",320,794,"5,843",3.2,151,"1,893",32,34,463,4800,87,947,64,87,947,64
33,"11,467","99,585",132,"3,842","35,032",6.6,216,"2,091",2.97,67,813,0.066,168,"1,729",3.3,95,"1,214",9.24,MAX,187,MAX,6,81,99,6,90,6.6,"1,486","10,321",330,910,"6,753",3.3,161,"2,054",33,36,499,4950,94,"1,041",66,94,"1,041",66
34,"12,792","112,377",136,"4,256","39,288",6.8,237,"2,328",3.06,72,885,0.068,183,"1,912",3.4,101,"1,315",9.52,MAX,187,MAX,7,88,102,7,97,6.8,"1,721","12,042",340,"1,041","7,794",3.4,171,"2,225",34,38,537,5100,101,"1,142",68,101,"1,142",68
35,"14,258","126,635",140,"4,712","44,000",7,260,"2,588",3.15,77,962,0.07,200,"2,112",3.5,108,"1,423",9.8,MAX,187,MAX,7,95,105,7,104,7,"1,990","14,032",350,"1,190","8,984",3.5,182,"2,407",35,41,578,5250,110,"1,252",70,110,"1,252",70
36,"15,880","142,515",144,"5,212","49,212",7.2,286,"2,874",3.24,82,"1,044",0.072,218,"2,330",3.6,114,"1,537",10.08,MAX,187,MAX,8,103,108,8,112,7.2,"2,300","16,332",360,"1,360","10,344",3.6,193,"2,600",36,43,621,5400,118,"1,370",72,118,"1,370",72
37,"17,674","160,189",148,"5,760","54,972",7.4,314,"3,188",3.33,88,"1,132",0.074,237,"2,567",3.7,121,"1,658",10.36,MAX,187,MAX,8,111,111,8,120,7.4,"2,657","18,989",370,"1,553","11,897",3.7,205,"2,805",37,45,666,5550,128,"1,498",74,128,"1,498",74
38,"19,657","179,846",152,"6,363","61,335",7.6,344,"3,532",3.42,94,"1,226",0.076,258,"2,825",3.8,129,"1,787",10.64,MAX,187,MAX,9,120,114,8,128,7.6,"3,067","22,056",380,"1,772","13,669",3.8,217,"3,022",38,48,714,5700,138,"1,636",76,138,"1,636",76
39,"21,847","201,693",156,"7,023","68,358",7.8,377,"3,909",3.51,100,"1,326",0.078,280,"3,105",3.9,136,"1,923",10.92,MAX,187,MAX,9,129,117,9,137,7.8,"3,537","25,593",390,"2,021","15,690",3.9,230,"3,252",39,50,764,5850,148,"1,784",78,148,"1,784",78
40,"24,266","225,959",160,"7,748","76,106",8,412,"4,321",3.6,107,"1,433",0.08,305,"3,410",4,145,"2,068",11.2,MAX,187,MAX,10,139,120,9,146,8,"4,078","29,671",400,"2,302","17,992",4,244,"3,496",40,53,817,6000,160,"1,944",80,160,"1,944",80
41,"26,937","252,896",164,"8,542","84,648",8.2,451,"4,772",3.69,114,"1,547",0.082,331,"3,741",4.1,153,"2,221",11.48,MAX,187,MAX,11,150,123,10,156,8.2,"4,698","34,369",410,"2,622","20,614",4.1,258,"3,754",41,55,872,6150,172,"2,116",82,172,"2,116",82
42,"29,885","282,781",168,"9,412","94,060",8.4,493,"5,265",3.78,121,"1,668",0.084,359,"4,100",4.2,162,"2,383",11.76,MAX,187,MAX,11,161,126,10,166,8.4,"5,410","39,779",420,"2,985","23,599",4.2,273,"4,027",42,58,930,6300,185,"2,301",84,185,"2,301",84
43,"33,138","315,919",172,"10,365","104,425",8.6,539,"5,804",3.87,129,"1,797",0.086,389,"4,489",4.3,171,"2,554",12.04,MAX,187,MAX,12,173,129,11,177,8.6,"6,225","46,004",430,"3,396","26,995",4.3,289,"4,316",43,61,991,6450,199,"2,500",86,199,"2,500",86
44,"36,725","352,644",176,"11,409","115,834",8.8,589,"6,393",3.96,137,"1,934",0.088,422,"4,911",4.4,181,"2,735",12.32,MAX,187,MAX,13,186,132,12,189,8.8,"7,161","53,165",440,"3,861","30,856",4.4,306,"4,622",44,64,"1,055",6600,214,"2,714",88,214,"2,714",88
45,"40,681","393,325",180,"12,551","128,385",9,643,"7,036",4.05,146,"2,080",0.09,458,"5,369",4.5,191,"2,926",12.6,MAX,187,MAX,14,200,135,12,201,9,"8,232","61,397",450,"4,388","35,244",4.5,323,"4,945",45,68,"1,123",6750,230,"2,944",90,230,"2,944",90
46,"45,041","438,366",184,"13,802","142,187",9.2,702,"7,738",4.14,155,"2,235",0.092,496,"5,865",4.6,202,"3,128",12.88,MAX,187,MAX,15,215,138,13,214,9.2,"9,460","70,857",460,"4,985","40,229",4.6,341,"5,286",46,71,"1,194",6900,248,"3,192",92,248,"3,192",92
47,"49,845","488,211",188,"15,170","157,357",9.4,766,"8,504",4.23,165,"2,400",0.094,537,"6,402",4.7,213,"3,341",13.16,MAX,187,MAX,16,231,141,14,228,9.4,"10,866","81,723",470,"5,660","45,889",4.7,360,"5,646",47,74,"1,268",7050,266,"3,458",94,266,"3,458",94
48,"55,138","543,349",192,"16,666","174,023",9.6,836,"9,340",4.32,176,"2,576",0.096,581,"6,983",4.8,225,"3,566",13.44,MAX,187,MAX,17,248,144,14,242,9.6,"12,475","94,198",480,"6,425","52,314",4.8,380,"6,026",48,78,"1,346",7200,285,"3,743",96,285,"3,743",96
49,"60,968","604,317",196,"18,303","192,326",9.8,911,"10,251",4.41,186,"2,762",0.098,629,"7,612",4.9,238,"3,804",13.72,MAX,187,MAX,18,266,147,15,257,9.8,"14,317","108,515",490,"7,289","59,603",4.9,401,"6,427",49,82,"1,428",7350,306,"4,049",98,306,"4,049",98
50,"67,387","671,704",200,"20,093","212,419",10,993,"11,244",4.5,198,"2,960",0.1,680,"8,292",5,251,"4,055",14,MAX,187,MAX,19,285,150,16,273,10,"16,425","124,940",500,"8,266","67,869",5,423,"6,850",50,86,"1,514",7500,328,"4,377",100,328,"4,377",100
51,"74,452","746,156",204,"22,048","234,467",10.2,"1,081","12,325",4.59,210,"3,170",0.102,735,"9,027",5.1,264,"4,319",14.28,MAX,187,MAX,21,306,153,17,290,10.2,"18,835","143,775",510,"9,371","77,240",5.1,446,"7,296",51,90,"1,604",7650,352,"4,729",102,352,"4,729",102
52,"82,228","828,384",208,"24,186","258,653",10.4,"1,178","13,503",4.68,223,"3,393",0.104,794,"9,821",5.2,278,"4,597",14.56,MAX,187,MAX,22,328,156,18,308,10.4,"21,591","165,366",520,"10,619","87,859",5.2,470,"7,766",52,94,"1,698",7800,377,"5,106",104,377,"5,106",104
53,"90,784","919,168",212,"26,521","285,174",10.6,"1,282","14,785",4.77,236,"3,629",0.106,858,"10,679",5.3,293,"4,890",14.84,MAX,187,MAX,24,352,159,19,327,10.6,"24,742","190,108",530,"12,030","99,889",5.3,495,"8,261",53,99,"1,797",7950,404,"5,510",106,404,"5,510",106
54,"100,195","1,019,363",216,"29,071","314,245",10.8,"1,395","16,180",4.86,251,"3,880",0.108,927,"11,606",5.4,309,"5,199",15.12,MAX,187,MAX,25,377,162,20,347,10.8,"28,342","218,450",540,"13,623","113,512",5.4,521,"8,782",54,103,"1,900",8100,433,"5,943",108,433,"5,943",108
55,"110,545","1,129,908",220,"31,856","346,101",11,"1,517","17,697",4.95,266,"4,146",0.11,"1,000","12,606",5.5,325,"5,524",15.4,MAX,187,MAX,27,404,165,21,368,11,"32,456","250,906",550,"15,423","128,935",5.5,549,"9,331",55,108,"2,008",8250,463,"6,406",110,463,"6,406",110
56,"121,925","1,251,833",224,"34,897","380,998",11.2,"1,650","19,347",5.04,281,"4,427",0.112,"1,080","13,686",5.6,342,"5,866",15.68,MAX,187,MAX,28,432,168,22,390,11.2,"37,155","288,061",560,"17,454","146,389",5.6,578,"9,909",56,113,"2,121",8400,496,"6,902",112,496,"6,902",112
57,"134,434","1,386,267",228,"38,216","419,214",11.4,"1,794","21,141",5.13,298,"4,725",0.114,"1,165","14,851",5.7,360,"6,226",15.96,MAX,187,MAX,30,462,171,23,413,11.4,"42,522","330,583",570,"19,748","166,137",5.7,608,"10,517",57,118,"2,239",8550,531,"7,433",114,531,"7,433",114
58,"148,183","1,534,450",232,"41,839","461,053",11.6,"1,950","23,091",5.22,316,"5,041",0.116,"1,256","16,107",5.8,379,"6,605",16.24,MAX,187,MAX,32,494,174,24,437,11.6,"48,649","379,232",580,"22,335","188,472",5.8,639,"11,156",58,124,"2,363",8700,568,"8,001",116,568,"8,001",116
59,"163,291","1,697,741",236,"45,792","506,845",11.8,"2,118","25,209",5.31,334,"5,375",0.118,"1,355","17,462",5.9,398,"7,003",16.52,MAX,187,MAX,34,528,177,25,462,11.8,"55,644","434,876",590,"25,255","213,727",5.9,672,"11,828",59,129,"2,492",8850,607,"8,608",118,607,"8,608",118
60,"179,890","1,877,631",240,"50,105","556,950",12,"2,301","27,510",5.4,354,"5,729",0.12,"1,461","18,923",6,418,"7,421",16.8,MAX,187,MAX,37,565,180,26,488,12,"63,626","498,502",600,"28,549","242,276",6,707,"12,535",60,135,"2,627",9000,649,"9,257",120,649,"9,257",120
61,"198,121","2,075,752",244,"54,809","611,759",12.2,"2,499","30,009",5.49,374,"6,103",0.122,"1,574","20,497",6.1,440,"7,861",17.08,MAX,187,MAX,39,604,183,28,516,12.2,"72,734","571,236",610,"32,264","274,540",6.1,743,"13,278",61,141,"2,768",9150,694,"9,951",122,694,"9,951",122
62,"218,144","2,293,896",248,"59,939","671,698",12.4,"2,713","32,722",5.58,396,"6,499",0.124,"1,696","22,193",6.2,462,"8,323",17.36,MAX,187,MAX,41,645,186,29,545,12.4,"83,125","654,361",620,"36,452","310,992",6.2,780,"14,058",62,147,"2,915",9300,742,"10,693",124,742,"10,693",124
63,"240,129","2,534,025",252,"65,532","737,230",12.6,"2,945","35,667",5.67,419,"6,918",0.126,"1,827","24,020",6.3,485,"8,808",17.64,MAX,187,MAX,44,689,189,31,576,12.6,"94,976","749,337",630,"41,174","352,166",6.3,820,"14,878",63,154,"3,069",9450,792,"11,485",126,792,"11,485",126
64,"264,265","2,798,290",256,"71,630","808,860",12.8,"3,195","38,862",5.76,443,"7,361",0.128,"1,968","25,988",6.4,510,"9,318",17.92,MAX,187,MAX,47,736,192,32,608,12.8,"108,489","857,826",640,"46,497","398,663",6.4,861,"15,739",64,161,"3,230",9600,846,"12,331",128,846,"12,331",128
65,"290,757","3,089,047",260,"78,277","887,137",13,"3,467","42,329",5.85,468,"7,829",0.13,"2,119","28,107",6.5,535,"9,853",18.2,MAX,187,MAX,50,786,195,34,642,13,"123,897","981,723",650,"52,495","451,158",6.5,904,"16,643",65,168,"3,398",9750,904,"13,235",130,904,"13,235",130
66,"319,832","3,408,879",264,"85,522","972,659",13.2,"3,760","46,089",5.94,494,"8,323",0.132,"2,280","30,387",6.6,562,"10,415",18.48,MAX,187,MAX,53,839,198,35,677,13.2,"141,461","1,123,184",660,"59,253","510,411",6.6,949,"17,592",66,175,"3,573",9900,965,"14,200",132,965,"14,200",132
67,"351,736","3,760,615",268,"93,415","1,066,074",13.4,"4,078","50,167",6.03,522,"8,845",0.134,"2,454","32,841",6.7,589,"11,004",18.76,MAX,187,MAX,56,895,201,37,714,13.4,"161,478","1,284,662",670,"66,867","577,278",6.7,996,"18,588",67,182,"3,755",10050,"1,030","15,230",134,"1,030","15,230",134
68,"386,737","4,147,352",272,"102,016","1,168,090",13.6,"4,421","54,588",6.12,552,"9,397",0.136,"2,641","35,482",6.8,618,"11,622",19.04,MAX,187,MAX,60,955,204,39,753,13.6,"184,288","1,468,950",680,"75,443","652,721",6.8,"1,045","19,633",68,190,"3,945",10200,"1,099","16,329",136,"1,099","16,329",136
69,"425,133","4,572,485",276,"111,385","1,279,475",13.8,"4,792","59,380",6.21,583,"9,980",0.138,"2,841","38,323",6.9,649,"12,271",19.32,MAX,187,MAX,64,"1,019",207,41,794,13.8,"210,277","1,679,227",690,"85,101","737,822",6.9,"1,097","20,730",69,198,"4,143",10350,"1,173","17,502",138,"1,173","17,502",138
70,"467,244","5,039,729",280,"121,589","1,401,064",14,"5,193","64,573",6.3,616,"10,596",0.14,"3,056","41,379",7,680,"12,951",19.6,MAX,187,MAX,68,"1,087",210,43,837,14,"239,881","1,919,108",700,"95,976","833,798",7,"1,150","21,880",70,207,"4,350",10500,"1,251","18,753",140,"1,251","18,753",140
71,"513,424","5,553,153",284,"132,702","1,533,766",14.2,"5,627","70,200",6.39,650,"11,246",0.142,"3,286","44,665",7.1,713,"13,664",19.88,MAX,187,MAX,72,"1,159",213,45,882,14.2,"273,599","2,192,707",710,"108,219","942,017",7.1,"1,206","23,086",71,216,"4,566",10650,"1,334","20,087",142,"1,334","20,087",142
72,"564,059","6,117,212",288,"144,803","1,678,569",14.4,"6,096","76,296",6.48,686,"11,932",0.144,"3,533","48,198",7.2,748,"14,412",20.16,MAX,187,MAX,76,"1,235",216,47,929,14.4,"311,997","2,504,704",720,"122,001","1,064,018",7.2,"1,265","24,351",72,225,"4,791",10800,"1,423","21,510",144,"1,423","21,510",144
73,"619,570","6,736,782",292,"157,977","1,836,546",14.6,"6,603","82,899",6.57,724,"12,656",0.146,"3,797","51,995",7.3,784,"15,196",20.44,MAX,187,MAX,81,"1,316",219,49,978,14.6,"355,717","2,860,421",730,"137,513","1,201,531",7.3,"1,326","25,677",73,234,"5,025",10950,"1,517","23,027",146,"1,517","23,027",146
74,"680,421","7,417,203",296,"172,319","2,008,865",14.8,"7,150","90,049",6.66,764,"13,420",0.148,"4,081","56,076",7.4,822,"16,018",20.72,MAX,187,MAX,86,"1,402",222,51,"1,029",14.8,"405,490","3,265,911",740,"154,968","1,356,499",7.4,"1,390","27,067",74,244,"5,269",11100,"1,617","24,644",148,"1,617","24,644",148
75,"747,114","8,164,317",300,"187,929","2,196,794",15,"7,742","97,791",6.75,806,"14,226",0.15,"4,386","60,462",7.5,861,"16,879",21,MAX,187,MAX,91,"1,493",225,54,"1,083",15,"462,145","3,728,056",750,"174,608","1,531,107",7.5,"1,456","28,523",75,254,"5,523",11250,"1,724","26,368",150,"1,724","26,368",150
